MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7269,usapl/USAPL-2017-01-B,USAPL,3/5/2017,USA,OH,,Arnold NextLifter Ohio Classic
7270,usapl/USAPL-2017-01-C,USAPL,3/4/2017,USA,OH,,Arnold SSP Nutrition Pro Raw Bench
7271,usapl/USAPL-2017-01-D,USAPL,3/4/2017,USA,OH,,Arnold Grand Prix
7272,usapl/USAPL-2017-01-E,USAPL,3/3/2017,USA,OH,,Arnold A7 Bar Grip Pro Raw Challenge
7273,usapl/VA-2015-01,USAPL,2/28/2015,USA,VA,,VA Classic 2015
7274,usapl/VA-2015-04,USAPL,11/14/2015,USA,VA,,2015 Virginia State Championships
7275,usapl/VA-2016-01,USAPL,2/20/2016,USA,VA,,2016 Richmond Open
7276,usapl/VA-2016-02,USAPL,4/24/2016,USA,VA,,Inaugural MASS Weekend Powerlifting Meet
7277,usapl/VA-2016-03,USAPL,7/16/2016,USA,VA,,2016 Virginia Beach Battle
7278,usapl/VA-2016-04,USAPL,8/13/2016,USA,VA,,3rd Annual NoVa Open
7279,usapl/VA-2016-05,USAPL,11/5/2016,USA,VA,,2016 Virginia State Championship
7280,usapl/VA-2017-01,USAPL,2/25/2017,USA,VA,,2017 Virginia State Championship
7281,usapl/VA-2017-02,USAPL,4/22/2017,USA,VA,,4th Annual NoVa Open
7282,usapl/VA-2017-03,USAPL,6/10/2017,USA,VA,,2nd Annual Battle at the Beach
7283,usapl/VA-2017-04,USAPL,9/10/2017,USA,VA,,Virginia Last Chance Qualifier
7284,usapl/VA-2017-05,USAPL,12/2/2017,USA,VA,,Inaugural Virginia High School and Collegiate Championships
7285,usapl/VA-2018-02,USAPL,1/13/2018,USA,VA,,Virginia Winter Open
7286,usapl/VT-2014-01,USAPL,10/25/2014,USA,VT,,Vermont Fall Open
7287,usapl/VT-2017-01,USAPL,6/17/2017,USA,VT,,Vermont State Championships
7288,usapl/WA-2014-02,USAPL,2/22/2014,USA,WA,,2014 Washington State Championships
